Component Name,Category,Subcategory,Description,Keywords,Visual Style,Motion Level,Dependencies,Complexity,Install Path
ScrambledText,Text Animations,Matrix,"Characters scramble continuously for a glitch effect","scramble,glitch,random,cyber,matrix,distorted","Cyberpunk,terminal,dark",5,none,Medium,/default/TextAnimations/ScrambledText
RotatingText,Text Animations,Rotating,"Words rotate through a carousel-style text animation","rotate,carousel,swap,cycle,words,alternating","Minimal,modern,professional",2,motion,Low,/default/TextAnimations/RotatingText
GlitchText,Text Animations,Glitch,"Text with glitch/distortion/shift effect","glitch,distortion,shift,error,cyberpunk,static","Cyberpunk,brutalism,retro",6,none,Medium,/default/TextAnimations/GlitchText
ScrollVelocity,Text Animations,Scroll,"Velocity-based marquee/scrolling speed text","velocity,speed,marquee,scroll,dynamic,bold","Bold,dynamic,modern",4,motion,Medium,/default/TextAnimations/ScrollVelocity
VariableProximity,Text Animations,Interactive,"Text characters respond to cursor proximity with variable effects","proximity,variable,mouse,cursor,interactive,responsive","Experimental,artistic,interactive",5,motion,High,/default/TextAnimations/VariableProximity
CountUp,Text Animations,Numeric,"Animated number counting up/down effect","count,number,stats,metric,dashboard,counter","Clean,professional,data",2,none,Low,/default/TextAnimations/CountUp
AnimatedContent,Animations,Scroll,"Content blocks animate in as user scrolls through page","scroll,content,reveal,entrance,sections,stagger","Minimal,modern,professional",4,gsap,Medium,/default/Animations/AnimatedContent
FadeContent,Animations,Transition,"Content fades in/out based on scroll position or state","fade,transition,opacity,content,reveal,smooth","Minimal,modern,clean",2,none,Low,/default/Animations/FadeContent
ElectricBorder,Animations,Glow,"Animated electric/glowing border effect around elements","electric,glow,border,energy,neon,pulse","Cyberpunk,dark,glass",5,none,Medium,/default/Animations/ElectricBorder
OrbitImages,Animations,3D,"3D orbiting ring of images with interactive rotation","orbit,images,3d,ring,rotate,gallery","Modern,bento,interactive",5,three,High,/default/Animations/OrbitImages
PixelTransition,Animations,Pixel,"Pixelated transition effect between elements","pixel,transition,retro,blocky,8bit,switch","Retro,pixel,cyberpunk",5,none,Medium,/default/Animations/PixelTransition
GlareHover,Animations,Hover,"Card/surface glare and reflection effect on mouse hover","glare,hover,shine,reflection,light,premium","Glass,luxury,premium",2,none,Low,/default/Animations/GlareHover
Antigravity,Animations,Physics,"Elements float upward against gravity with physics","antigravity,float,physics,levitate,drift,magical","Experimental,artistic,dark",5,motion,Medium,/default/Animations/Antigravity
LogoLoop,Animations,Brand,"Continuous horizontal logo carousel/ticker loop","logo,loop,carousel,infinite,brand,marquee","Minimal,modern,professional",2,motion,Low,/default/Animations/LogoLoop
TargetCursor,Animations,Cursor,"Custom crosshair/target cursor following mouse","target,crosshair,cursor,mouse,follow,aim","Minimal,dark,cyberpunk",3,none,Medium,/default/Animations/TargetCursor
MagicRings,Animations,Artistic,"Concentric animated rings with magical/glow effects","rings,concentric,magic,glow,pulse,circle","Glass,dark,artistic",5,motion,Medium,/default/Animations/MagicRings
LaserFlow,Animations,Cursor,"Laser beam trail effect following cursor movement","laser,beam,trail,flow,cursor,energy","Cyberpunk,dark,brutalism",6,none,Medium,/default/Animations/LaserFlow
MagnetLines,Animations,Interactive,"Lines that attract/repel from cursor like magnets","magnet,lines,attract,repel,cursor,force","Minimal,dark,modern",4,motion,Medium,/default/Animations/MagnetLines
GhostCursor,Animations,Cursor,"Ghostly trailing cursor effect","ghost,trail,afterimage,follow,fade,ethereal","Dark,minimal,glass",2,none,Low,/default/Animations/GhostCursor
GradualBlur,Animations,Transition,"Progressive blur effect applied on scroll or state change","blur,gradual,progressive,transition,focus,depth","Glass,minimal,modern",2,none,Low,/default/Animations/GradualBlur
ClickSpark,Animations,Click,"Spark/particle burst effect on click/tap","click,spark,particle,burst,tap,feedback","Dark,cyberpunk,artistic",3,none,Low,/default/Animations/ClickSpark
Magnet,Animations,Interactive,"Element smoothly follows mouse with magnetic attraction","magnet,attract,follow,interactive,smooth,hover","Minimal,modern,clean",2,none,Low,/default/Animations/Magnet
Strands,Animations,Artistic,"Organic thread-like strands that animate and flow","strands,threads,organic,flow,particle,art","Artistic,dark,experimental",5,three,High,/default/Animations/Strands
StickerPeel,Animations,Reveal,"Sticker peel-off reveal animation effect","sticker,peel,reveal,uncover,corner,curl","Retro,experimental,playful",4,motion,Medium,/default/Animations/StickerPeel
PixelTrail,Animations,Cursor,"Retro pixel trail following cursor","pixel,trail,cursor,retro,8bit,follow","Retro,pixel,cyberpunk",4,none,Medium,/default/Animations/PixelTrail
Cubes,Animations,3D,"Animated 3D cubes grid responding to interaction","cubes,3d,grid,isometric,rotate,geometry","Brutalism,3d,dark",6,three,High,/default/Animations/Cubes
MetallicPaint,Animations,Surface,"Metallic paint/reflective surface animation","metallic,paint,reflective,shine,premium,luxury","Luxury,glass,dark",2,none,Low,/default/Animations/MetallicPaint
Noise,Animations,Texture,"Animated noise/grain/texture overlay effect","noise,grain,texture,overlay,film,vintage","Brutalism,retro,dark",2,none,Low,/default/Animations/Noise
ShapeBlur,Animations,Transition,"Blurred abstract shapes morphing and transitioning","shape,blur,abstract,morph,organic,soft","Glass,minimal,modern",3,motion,Medium,/default/Animations/ShapeBlur
Crosshair,Animations,Cursor,"Tactical crosshair cursor with scanning effect","crosshair,tactical,scan,cursor,reticle,target","Terminal,cyberpunk,dark",3,none,Medium,/default/Animations/Crosshair
ImageTrail,Animations,Cursor,"Images leave a trail following mouse movement","image,trail,gallery,follow,cursor,visual","Artistic,dark,experimental",5,motion,High,/default/Animations/ImageTrail
Ribbons,Animations,3D,"3D ribbon/cord geometry that animates and flows","ribbons,3d,cords,flow,colorful,geometry","3d,glass,modern",5,three,High,/default/Animations/Ribbons
SplashCursor,Animations,Cursor,"Liquid splash/ripple effect on cursor position","splash,cursor,ripple,liquid,water,particle","Artistic,dark,glass",4,none,Medium,/default/Animations/SplashCursor
MetaBalls,Animations,Artistic,"Organic metaball blob shapes that merge and separate","metaballs,blobs,organic,merge,fluid,goo","Dark,glass,experimental",5,motion,High,/default/Animations/MetaBalls
BlobCursor,Animations,Cursor,"Animated blob shape following mouse cursor","blob,cursor,follow,organic,goo,morph","Dark,artistic,glass",3,motion,Medium,/default/Animations/BlobCursor
StarBorder,Animations,Glow,"Animated star/sparkle border around elements","star,border,sparkle,glow,magic,celestial","Luxury,glass,dark",3,none,Low,/default/Animations/StarBorder
LineSidebar,Components,Navigation,"Animated vertical line sidebar navigation","sidebar,navigation,line,vertical,menu,minimal","Minimal,dark,cyberpunk",2,motion,Low,/default/Components/LineSidebar
AnimatedList,Components,List,"List items animate in sequentially with stagger","list,animated,items,stagger,entrance,sequence","Minimal,modern,bento",3,motion,Medium,/default/Components/AnimatedList
ScrollStack,Components,Scroll,"Cards stack and unstack as user scrolls","stack,scroll,cards,pile,layer,depth","Minimal,modern,dark",5,gsap,High,/default/Components/ScrollStack
BubbleMenu,Components,Navigation,"Floating circular bubble navigation menu","bubble,menu,floating,circular,navigation,radial","Glass,dark,artistic",4,motion,Medium,/default/Components/BubbleMenu
MagicBento,Components,Grid,"Bento-grid layout with magical hover effects","bento,grid,magic,hover,cards,layout","Bento,glass,modern",4,motion,Medium,/default/Components/MagicBento
CircularGallery,Components,Gallery,"Images arranged in a 3D circular carousel","circular,gallery,carousel,3d,rotate,images","3d,luxury,dark",5,three,High,/default/Components/CircularGallery
ReflectiveCard,Components,Card,"Card with reflective/shiny surface effect","reflective,card,shine,glossy,mirror,surface","Glass,luxury,dark",2,none,Low,/default/Components/ReflectiveCard
CardNav,Components,Navigation,"Card-based navigation with hover preview","card,navigation,preview,hover,expand,menu","Minimal,modern,bento",3,motion,Medium,/default/Components/CardNav
Stack,Components,Layout,"Stacked card layout with depth and spacing","stack,cards,layout,depth,layer,hierarchy","Modern,minimal,bento",3,motion,Medium,/default/Components/Stack
FluidGlass,Components,Surface,"Glass surface with fluid distortion/dynamic blur on interaction","fluid,glass,distortion,blur,dynamic,interactive","Glass,dark,luxury",5,motion,High,/default/Components/FluidGlass
PillNav,Components,Navigation,"Pill-shaped tab navigation with sliding indicator","pill,navigation,tabs,sliding,indicator,rounded","Minimal,modern,glass",2,motion,Low,/default/Components/PillNav
TiltedCard,Components,Card,"Card with 3D tilt effect on mouse hover","tilted,card,3d,hover,perspective,parallax","3d,modern,luxury",3,motion,Medium,/default/Components/TiltedCard
Masonry,Components,Layout,"Pinterest-style responsive masonry grid","masonry,grid,layout,responsive,pinterest,varied","Bento,minimal,modern",3,none,Medium,/default/Components/Masonry
GlassSurface,Components,Surface,"Frosted glass card/surface component","glass,frosted,blur,translucent,card,backdrop","Glass,luxury,dark",1,none,Low,/default/Components/GlassSurface
DomeGallery,Components,Gallery,"Dome-shaped 3D image gallery","dome,gallery,3d,sphere,images,panoramic","3d,luxury,dark",5,three,High,/default/Components/DomeGallery
ChromaGrid,Components,Grid,"Colorful gradient grid with interactive cells","chroma,grid,color,gradient,cells,interactive","Glass,bento,dark",4,motion,Medium,/default/Components/ChromaGrid
Folder,Components,UI,"Folder/file tree component with terminal aesthetic","folder,file,tree,terminal,code,directory","Terminal,brutalism,code",2,none,Low,/default/Components/Folder
StaggeredMenu,Components,Navigation,"Menu items animate in with staggered delay","menu,staggered,navigation,delay,entrance,items","Minimal,modern,dark",3,motion,Medium,/default/Components/StaggeredMenu
ModelViewer,Components,3D,"Interactive 3D model viewer component","model,viewer,3d,interactive,rotate,mesh","3d,luxury,dark",7,three,High,/default/Components/ModelViewer
Lanyard,Components,3D,"3D physics-based lanyard simulation with realistic rope","lanyard,physics,rope,3d,simulation,hanging","3d,experimental,artistic",8,three,High,/default/Components/Lanyard
ProfileCard,Components,Card,"3D profile/team card with hover effects","profile,card,3d,team,person,hover","3d,modern,glass",4,motion,Medium,/default/Components/ProfileCard
Dock,Components,Navigation,"macOS-style animated dock navigation","dock,macos,navigation,icons,zoom,bounce","Glass,minimal,macos",3,motion,Medium,/default/Components/Dock
GooeyNav,Components,Navigation,"Navigation with gooey/liquid morphing effect","gooey,nav,navigation,liquid,morph,sticky","Glass,dark,artistic",4,motion,Medium,/default/Components/GooeyNav
PixelCard,Components,Card,"Canvas-based card with pixel shimmer effects","pixel,card,shimmer,canvas,retro,interactive","Retro,pixel,cyberpunk",4,none,Medium,/default/Components/PixelCard
Carousel,Components,Gallery,"Smooth image/content carousel with transitions","carousel,slider,gallery,images,swipe,rotate","Modern,minimal,bento",3,motion,Medium,/default/Components/Carousel
SpotlightCard,Components,Card,"Card with spotlight/radial glow following cursor","spotlight,card,glow,radial,cursor,hover","Glass,dark,luxury",3,none,Medium,/default/Components/SpotlightCard
BorderGlow,Components,Effect,"Animated glowing border around elements","border,glow,animated,neon,edge,pulse","Dark,cyberpunk,glass",3,none,Low,/default/Components/BorderGlow
FlyingPosters,Components,Gallery,"Posters/cards fly into view with 3D animation","flying,posters,3d,cards,entrance,scattered","Modern,bento,minimal",4,motion,Medium,/default/Components/FlyingPosters
CardSwap,Components,Card,"Cards swap/flip between states with transition","card,swap,flip,transition,exchange,morph","Minimal,modern,bento",3,motion,Medium,/default/Components/CardSwap
GlassIcons,Components,Icon,"Icon components with frosted glass effect","glass,icons,blur,frosted,translucent,symbol","Glass,luxury,dark",1,none,Low,/default/Components/GlassIcons
DecayCard,Components,Card,"Card with decaying/glitchy disintegration effect","decay,card,glitch,disintegrate,corrupt,distortion","Brutalism,dark,experimental",6,motion,High,/default/Components/DecayCard
FlowingMenu,Components,Navigation,"Menu with flowing/smooth item transitions","flowing,menu,navigation,smooth,transition,items","Minimal,modern,glass",3,motion,Medium,/default/Components/FlowingMenu
ElasticSlider,Components,Slider,"Slider/range with elastic/physics bounce effect","elastic,slider,range,physics,bounce,spring","Dark,modern,cyberpunk",4,motion,Medium,/default/Components/ElasticSlider
Counter,Components,Data,"Animated number counter for stats and metrics","counter,number,stats,animate,count,metric","Minimal,modern,bento",2,none,Low,/default/Components/Counter
InfiniteMenu,Components,Navigation,"Infinite scrolling/folding menu component","infinite,menu,scroll,fold,continuous,endless","3d,artistic,dark",5,motion,High,/default/Components/InfiniteMenu
Stepper,Components,Form,"Multi-step progress/stepper component","stepper,steps,progress,form,wizard,multi-step","Minimal,modern,bento",2,none,Low,/default/Components/Stepper
BounceCards,Components,Card,"Cards with bouncy spring animation on interaction","bounce,cards,spring,playful,physics,entrance","Modern,bento,glass",4,motion,Medium,/default/Components/BounceCards
Ferrofluid,Backgrounds,Fluid,"Magnetic ferrofluid-like blobs and spikes","ferrofluid,magnetic,liquid,spike,blob,organic","Artistic,dark,experimental",6,three,High,/default/Backgrounds/Ferrofluid
Lightfall,Backgrounds,Light,"Soft falling light rays/particles","lightfall,rays,particles,falling,soft,atmospheric","Glass,minimal,dark",3,motion,Medium,/default/Backgrounds/Lightfall
LiquidEther,Backgrounds,Fluid,"Fluid ether-like flowing background with organic motion","liquid,ether,fluid,flowing,organic,ethereal","Glass,dark,luxury",5,motion,High,/default/Backgrounds/LiquidEther
Prism,Backgrounds,Light,"Prismatic light dispersion with rainbow effects","prism,rainbow,light,dispersion,spectrum,colorful","Glass,dark,luxury",3,none,Medium,/default/Backgrounds/Prism
DarkVeil,Backgrounds,Atmosphere,"Atmospheric dark overlay with depth and particles","dark,veil,atmosphere,depth,particles,mysterious","Dark,glass,brutalism",3,motion,Medium,/default/Backgrounds/DarkVeil
LightPillar,Backgrounds,Light,"Vertical light beams/pillars with soft glow","light,pillar,beam,vertical,glow,column","Glass,luxury,minimal",2,none,Low,/default/Backgrounds/LightPillar
Silk,Backgrounds,Fluid,"Silky smooth flowing fabric-like animation","silk,fabric,flowing,smooth,elegant,drape","Glass,dark,artistic",4,none,Medium,/default/Backgrounds/Silk
FloatingLines,Backgrounds,Geometric,"Lines float and drift across the background","floating,lines,drift,subtle,minimal,geometric","Minimal,dark,glass",2,none,Low,/default/Backgrounds/FloatingLines
SideRays,Backgrounds,Light,"Light rays emanating from the sides of the viewport","side,rays,light,edge,glow,radial","Dark,glass,cyberpunk",2,none,Low,/default/Backgrounds/SideRays
LightRays,Backgrounds,Light,"Radiant light rays shining from a central point","light,rays,radiant,center,glow,divine","Glass,minimal,luxury",2,none,Low,/default/Backgrounds/LightRays
PixelBlast,Backgrounds,Pixel,"Pixel art style explosive burst/particles","pixel,blast,explosion,particles,retro,8-bit","Retro,pixel,cyberpunk",5,none,Medium,/default/Backgrounds/PixelBlast
ColorBends,Backgrounds,Gradient,"Gradient colors bend and flow across the background","color,bends,gradient,flow,spectrum,warp","Glass,artistic,dark",3,none,Medium,/default/Backgrounds/ColorBends
EvilEye,Backgrounds,Artistic,"Hypnotic eye/watchful visual effect","evil,eye,watch,hypnotic,stare,void","Dark,artistic,cyberpunk",4,motion,Medium,/default/Backgrounds/EvilEye
LineWaves,Backgrounds,Geometric,"Waves created from animated horizontal lines","line,waves,horizontal,oscillate,minimal,clean","Minimal,dark,cyberpunk",3,motion,Medium,/default/Backgrounds/LineWaves
Radar,Backgrounds,Scan,"Rotating radar/sonar scanning animation","radar,scan,sonar,rotate,detect,circular","Terminal,cyberpunk,dark",4,none,Medium,/default/Backgrounds/Radar
SoftAurora,Backgrounds,Light,"Subtle aurora borealis with soft color transitions","aurora,soft,borealis,subtle,color,gentle","Glass,minimal,modern",3,none,Medium,/default/Backgrounds/SoftAurora
Aurora,Backgrounds,Light,"Vibrant aurora borealis/northern lights effect","aurora,borealis,northern,vibrant,colorful,flowing","Glass,dark,luxury",4,none,Medium,/default/Backgrounds/Aurora
Plasma,Backgrounds,Energy,"Energetic plasma-like flowing color field","plasma,energy,colorful,flowing,electric,hot","Dark,cyberpunk,experimental",6,none,Medium,/default/Backgrounds/Plasma
PlasmaWave,Backgrounds,Energy,"Wave version of plasma effect with undulating motion","plasma,wave,energy,undulate,flow,colorful","Dark,glass,experimental",5,motion,High,/default/Backgrounds/PlasmaWave
Particles,Backgrounds,Particle,"Floating particle system with configurable behavior","particles,floating,dots,ambient,subtle,space","Minimal,dark,modern",2,none,Low,/default/Backgrounds/Particles
GradientBlinds,Backgrounds,Gradient,"Gradient strips like window blinds animating","gradient,blinds,strips,window,transition,color","Glass,modern,minimal",2,none,Low,/default/Backgrounds/GradientBlinds
Grainient,Backgrounds,Texture,"Gradient + noise grain combination effect","grain,gradient,noise,texture,film,vintage","Brutalism,retro,dark",2,none,Low,/default/Backgrounds/Grainient
GridScan,Backgrounds,Scan,"Grid lines with scanning/highlighting effect","grid,scan,lines,geometry,detect,matrix","Terminal,cyberpunk,dark",4,none,Medium,/default/Backgrounds/GridScan
Beams,Backgrounds,Light,"Light beams sweeping across the background","beams,sweep,light,search,dynamic,energy","Dark,cyberpunk,glass",4,none,Medium,/default/Backgrounds/Beams
PixelSnow,Backgrounds,Pixel,"Retro pixel art snowfall effect","pixel,snow,falling,winter,flakes,retro","Retro,pixel,dark",3,none,Medium,/default/Backgrounds/PixelSnow
Lightning,Backgrounds,Energy,"Animated lightning/electric bolt strikes","lightning,electric,bolt,strike,flash,storm","Cyberpunk,dark,brutalism",5,none,Medium,/default/Backgrounds/Lightning
PrismaticBurst,Backgrounds,Light,"Burst of prismatic light and color","prismatic,burst,light,color,explosion,radiant","Glass,luxury,dark",4,none,Medium,/default/Backgrounds/PrismaticBurst
Galaxy,Backgrounds,Space,"Deep space galaxy with stars and nebula","galaxy,space,stars,nebula,cosmic,deep","Dark,artistic,3d",5,three,High,/default/Backgrounds/Galaxy
Dither,Backgrounds,Pixel,"Dithering pixel pattern background effect","dither,pattern,pixel,retro,noise,dot","Retro,pixel,brutalism",1,none,Low,/default/Backgrounds/Dither
FaultyTerminal,Backgrounds,Terminal,"Glitchy terminal/screen with scanlines and errors","faulty,terminal,glitch,screen,error,scanlines","Brutalism,terminal,cyberpunk",5,none,Medium,/default/Backgrounds/FaultyTerminal
RippleGrid,Backgrounds,Geometric,"Grid that ripples/distorts on interaction","ripple,grid,distort,wave,interactive,mesh","Glass,dark,minimal",4,motion,Medium,/default/Backgrounds/RippleGrid
DotField,Backgrounds,Particle,"Field of dots with interactive behavior","dot,field,particle,points,pattern,scatter","Minimal,dark,cyberpunk",2,none,Low,/default/Backgrounds/DotField
DotGrid,Backgrounds,Geometric,"Clean dot matrix grid pattern","dot,grid,matrix,pattern,clean,geometric","Minimal,modern,dark",1,none,Low,/default/Backgrounds/DotGrid
Threads,Backgrounds,Geometric,"Fine thread-like lines weaving across background","threads,lines,weaving,delicate,network,fine","Minimal,dark,artistic",3,none,Medium,/default/Backgrounds/Threads
Hyperspeed,Backgrounds,Space,"Sci-fi hyperspace/warp-speed tunnel effect","hyperspeed,warp,tunnel,speed,sci-fi,stars","Cyberpunk,dark,3d",7,three,High,/default/Backgrounds/Hyperspeed
Iridescence,Backgrounds,Light,"Oil-slick iridescent color shifting effect","iridescent,oil,slick,color-shift,holographic,rainbow","Glass,luxury,dark",3,none,Medium,/default/Backgrounds/Iridescence
Waves,Backgrounds,Fluid,"Smooth animated wave/water surface effect","waves,water,ocean,sine,smooth,flow","Minimal,dark,glass",3,none,Medium,/default/Backgrounds/Waves
GridDistortion,Backgrounds,Geometric,"Grid lines that warp and distort","grid,distortion,warp,bend,matrix,glitch","Cyberpunk,dark,brutalism",5,none,Medium,/default/Backgrounds/GridDistortion
Ballpit,Backgrounds,Particle,"Colorful balls bouncing like a ball pit","ballpit,balls,colorful,bouncing,playful,fun","Artistic,dark,experimental",4,motion,Medium,/default/Backgrounds/Ballpit
Orb,Backgrounds,Light,"Glowing orb/sphere with animated effects","orb,sphere,glow,light,mystical,ethereal","Dark,glass,cyberpunk",3,none,Medium,/default/Backgrounds/Orb
LetterGlitch,Backgrounds,Terminal,"Random letters/characters glitching across screen","letter,glitch,characters,random,screen,tv-static","Brutalism,terminal,cyberpunk",5,none,Medium,/default/Backgrounds/LetterGlitch
GridMotion,Backgrounds,Geometric,"Grid animated with subtle motion/shift","grid,motion,shift,animate,subtle,pattern","Modern,minimal,bento",2,none,Low,/default/Backgrounds/GridMotion
ShapeGrid,Backgrounds,Geometric,"Grid of shapes with animated states","shape,grid,squares,circles,pattern,geometric","Minimal,modern,dark",2,none,Low,/default/Backgrounds/ShapeGrid
LiquidChrome,Backgrounds,Fluid,"Liquid metallic chrome flowing surface","liquid,chrome,metallic,flow,reflective,futuristic","Dark,glass,luxury,cyberpunk",5,none,High,/default/Backgrounds/LiquidChrome
Balatro,Backgrounds,Pixel,"Retro playing-card/joker aesthetic pixel effect","balatro,card,joker,retro,pixel,gambling","Retro,pixel,brutalism",4,none,Medium,/default/Backgrounds/Balatro
