Style Name,Primary Components,Secondary Components,Avoid Components,Match Keywords,Color Notes,Motion Notes
Retro-Futurism,"GlitchText;PixelTransition;LetterGlitch;GridMotion;Hyperspeed;DecryptedText;StarBorder","ElectricBorder;Squares;Galaxy;GridScan;PixelCard;PixelTrail;PixelBlast;Balatro","Minimalist soft components;Modern glass;Flat design components","vintage,sci-fi,80s,neon-glow,CRT,scanlines,pixel,synthwave,retro,cyberpunk,outrun","Neon blue/pink/cyan on deep black. CRT scanline overlays. Monospace fonts. 80s color palette.","Motion 5-8: glitch effects. CRT scanline animations. Neon pulse and flicker."
Flat Design,"FadeContent;SplitText;Stack;PillNav;Counter;Stepper;CardNav;Masonry;AnimatedList","CountUp;LogoLoop;Carousel;StaggeredMenu;AnimatedContent;DotGrid;ShapeGrid;LineSidebar","3D components;Skeuomorphic components;Glassmorphism components","flat,2d,bold-color,no-depth,clean,simple,functional,modern,minimal-shadow","Solid colors (no gradients). Sharp or subtle rounded (4px). No shadows or single flat shadow. Bold typography.","Motion 1-3: simple state changes. No depth-based animation. Quick transitions."
Skeuomorphism,"TiltedCard;ProfileCard;SpotlightCard;ReflectiveCard;Stack;GlareHover;MetallicPaint","ModelViewer;CircularGallery;GlassIcons;FadeContent;LightPillar;StarBorder;Ribbons","Flat components;Brutalist components;Minimalist ultra-flat components","realistic,texture,leather,wood,metal,stitching,gradient,shadow,depth,tactile","Rich textures and gradients. Realistic shadows with depth. Material textures (wood grain, leather stitch, metal).","Motion 2-4: realistic physics. Subtle depth transitions. Press-animate with depth change."
Liquid Glass,"FluidGlass;LiquidChrome;LiquidEther;GlassSurface;MetaBalls;SplashCursor;GooeyNav;Aurora","ReflectiveCard;Prism;Iridescence;ChromaGrid;BubbleMenu;GlassIcons;ColorBends;ShapeBlur","Flat components;Brutalist components;Pixel components","liquid,flow,fluid,organic,morph,blob,glass,distortion,dynamic,smooth","Use translucent colors with fluid distortion. Gradient meshes. Dynamic blur amounts.","Motion 5-8: fluid morphing animations. Organic blob transitions. Smooth distortions."
Motion-Driven,"AnimatedContent;ScrollStack;FadeContent;ImageTrail;FlyingPosters;BlobCursor;MagicRings;Ribbons","SplitText;ElasticSlider;BounceCards;ScrollVelocity;MagnetLines;Strands;Antigravity;InfiniteMenu","Static components;Simple hover-only components","motion,animation,dynamic,scroll,interactive,kinetic,lively,responsive,expressive","Colors can be bold - motion is the primary communication layer. Use accent colors for animated elements.","Motion 8-10: complex choreography. Scroll-linked animations. Physics-based motion. Stagger sequences."
Micro-interactions,"Magnet;FadeContent;ClickSpark;GhostCursor;TargetCursor;MagnetLines;StarBorder;GlareHover","TrueFocus;FuzzyText;CountUp;Stepper;PillNav;LogoLoop;BorderGlow;ElasticSlider","Heavy backgrounds;Full-page animations;Scrolljacking components","micro,subtle,feedback,tap,hover,responsive,detail,polish,delight","Subtle color shifts on interaction. Focus/hover states use --color-accent.","Motion 1-3: 150-300ms micro-interactions. Subtle scale (0.95-1.05). Smooth hover transitions."
Inclusive Design,"FadeContent;SplitText;TrueFocus;Stepper;PillNav;Counter;AnimatedList;CountUp","Stack;Masonry;StaggeredMenu;CardSwap;DotGrid;AnimatedContent","Auto-play animations;Seizure-risk components;LaserFlow;GlitchText","accessible,a11y,inclusive,universal,readable,keyboard,contrast,everyone","WCAG AAA contrast (7:1). Large text (16px+). Clear focus indicators. Semantic color use.","Motion 1-2: respect prefers-reduced-motion. No autoplay. Subtle optional animations."
Zero Interface,"FadeContent;TrueFocus;BlurText;GradualBlur;ShapeBlur;ScrollReveal;AnimatedContent","DotGrid;Threads;FloatingLines;Magnet;GhostCursor;Lightfall;Particles","Heavy decoration;Flashy components;Complex navigation components","invisible,minimal,voice,gesture,ambient,contextual,disappearing,calm,quiet","Minimal color use - mostly monochrome. UI fades in on demand. Transparent backgrounds.","Motion 1-2: almost no visible animation. Only essential feedback. Ultra-subtle."
Soft UI Evolution,"BlurText;FadeContent;ShapeBlur;Stack;GlassSurface;SpotlightCard;PillNav","CountUp;TiltedCard;LightPillar;DotGrid;CardSwap;GradientBlinds;SoftAurora","Brutalist components;Glitch components;Dark aggressive components","soft,round,friendly,modern,neumorphism-evolved,accessible,gentle,warm","Warm neutral palette. Soft pastels. Gradient blend backgrounds. Rounded (8-12px). Gentle shadows.","Motion 2-4: gentle transitions. Soft spring easing. Friendly micro-interactions."
Hero-Centric Design (Landing Page),"SplitText;ScrollReveal;FadeContent;SpotlightCard;AnimatedContent;FlyingPosters;ScrollStack","BlurText;CountUp;ShinyText;Aurora;LightRays;Carousel;BounceCards;StarBorder","Complex navigation;Heavy backgrounds;Terminal components","hero,landing,headline,bold,CTA,conversion,above-fold,attention,impact","Bold hero colors. High contrast headline area. CTA uses --color-accent at full opacity.","Motion 4-6: impressive hero animation. Scroll-triggered reveals. Attention-grabbing but not overwhelming."
Bento Box Grid,"MagicBento;ChromaGrid;Stack;Masonry;TiltedCard;SpotlightCard;ScrollStack;Dock","Carousel;AnimatedContent;CardSwap;FlyingPosters;BounceCards;Counter;Stepper","Full-page backgrounds;Heavy animation components;Dark-only components","modular,grid,asymmetric,apple-style,cards,tiles,varied-size,showcase,gallery","Neutral backgrounds with brand accent. Cards: var(--color-background) with subtle shadows. Rounded-xl (16-24px).","Motion 3-5: subtle card hover scale (1.02). Stagger entrance animations. Grid reflow transitions."
Y2K Aesthetic,"FuzzyText;ShinyText;PixelTransition;ChromaGrid;Balatro;MetallicPaint;GlitchText","BounceCards;StickerPeel;ElasticSlider;ColorBends;Prism;ClickSpark;SplashCursor","Minimalist flat components;Corporate professional components","neon-pink,chrome,metallic,iridescent,glossy,2000s,retro-futurism,y2k,bubblegum,frosted-tips","Vibrant neon accents. Metallic gradients (silver/chrome). Glossy overlays. Hot pink + cyan + silver.","Motion 5-8: energetic flashy animations. Sparkle effects. Bouncy transitions."
Cyberpunk UI,"GlitchText;DecryptedText;ClickSpark;LetterGlitch;Hyperspeed;ElectricBorder;GridDistortion;Lightning","SplashCursor;Noise;FaultyTerminal;GridScan;LaserFlow;Crosshair;PixelTrail;BorderGlow;LiquidChrome","Soft pastel components;Minimalist clean components;Gentle animation components","neon,dark,terminal,HUD,glitch,dystopian,matrix,tech-noir,cyborg,rain,neon-lights","Neon glow on black. --color-accent as neon (#00FF00, #FF00FF, #00FFFF). Dark backgrounds only. Glow text-shadow.","Motion 6-9: intense glitch animations. Scanline effects. Neon flicker. Fast-twitch micro-interactions."
Organic Biophilic,"WaveText;FuzzyText;Ribbons;Silk;Waves;FadeContent;BlobCursor;Orb","ShapeBlur;Threads;Strands;FloatingLines;LiquidEther;Lightfall;Ballpit","Cyberpunk components;Glitch components;Dark aggressive components","nature,organic,flowing,green,rounded,wellness,earthy,natural,leaf,botanical","Earth tones (greens #4CAF50, browns #8D6E63, creams). Organic curves. Natural soft shadows.","Motion 3-5: flowing organic animations. Gentle wave motions. Growth-like reveals."
AI-Native UI,"FadeContent;AnimatedContent;TrueFocus;Threads;DotGrid;CountUp;ScrollReveal;ShapeBlur","Orb;Stack;Particles;FloatingLines;SplitText;Counter;Stepper;AnimatedList","Brutalist components;Heavy decoration;Flashy distracting components","chat,conversational,minimal-chrome,streaming,assistant,ambient,AI,LLM,token,generate","Neutral + single AI accent (#6366F1 / #8B5CF6). Subtle backgrounds. Minimal borders. Streaming indicator.","Motion 2-4: typing indicators (pulse). Smooth streaming reveals. Dot/bounce loading states."
Memphis Design,"ChromaGrid;GradientText;Balatro;PixelBlast;BounceCards;ColorBends;FuzzyText","FlyingPosters;PixelCard;StickerPeel;PixelTransition;Ballpit;ElasticSlider","Minimalist components;Corporate components;Dark-only components","memphis,80s,geometric,shapes,squiggles,post-modern,pop,colorful,abstract,bold-patterns","Bold geometric color blocking. Primary colors. Black+white contrast. Triangle/circle/square motifs.","Motion 5-8: bold animated shapes. Pattern animations. Playful transitions."
Vaporwave,"GradientText;GlitchText;ChromaGrid;Hyperspeed;ShinyText;Iridescence;PixelTransition","LetterGlitch;ColorBends;Prism;MetallicPaint;StarBorder;PixelCard;LiquidChrome","Minimalist components;Corporate components;Natural components","vaporwave,aesthetic,synthwave,80s,mall,nostalgia,retro,neon,sunset,palm,cassette","Neon pink/cyan/purple gradient. Sunset orange. Grid backgrounds. Chromatic aberration.","Motion 4-7: slow drift animations. VHS tracking artifacts. Neon glow pulses."
Data-Dense Dashboard,"Counter;CountUp;ScrollStack;AnimatedList;Stack;Stepper;ChromaGrid;DotGrid","ElasticSlider;FadeContent;MagicBento;Masonry;PillNav;BorderGlow;ShapeGrid","Heavy animations;Full-page backgrounds;Hero components","dashboard,data,metrics,stats,KPI,analytics,charts,dense,information,monitoring","Neutral background. Data colors for charts. --color-primary for key metrics. High information density.","Motion 1-2: minimal motion. Instant data updates. No decorative animation."
Executive Dashboard,"Counter;CountUp;SpotlightCard;Stack;AnimatedList;Stepper;GlassSurface;LightPillar","ReflectiveCard;ChromaGrid;TiltedCard;DotGrid;CardSwap;Particles","Playful components;Flashy components;Brutalist components","executive,overview,summary,high-level,KPI,professional,corporate,polished,premium","Premium palette. Subtle gradients. Polished surfaces. Professional color scheme with accent highlights.","Motion 1-3: subtle polish. Gentle data transitions. Professional micro-interactions."
Real-Time Monitoring,"ElectricBorder;BorderGlow;CountUp;Radar;GridScan;Lightning;LaserFlow;ClickSpark","Counter;Beams;Plasma;LineWaves;Crosshair;DotField;Particles","Slow-transition components;Heavy decorative backgrounds","real-time,live,monitor,streaming,alert,pulse,update,status,watch","Red/orange alert colors. Green for normal. High contrast status indicators. Dark monitoring backgrounds.","Motion 3-5: pulse animations for live data. Blinking alerts. Smooth real-time updates."
Neubrutalism,"GlitchText;DecryptedText;ASCIIText;Noise;Stack;FlyingPosters;LetterGlitch;DecayCard","Grainient;BorderGlow;Dither;ElasticSlider;PixelCard;Balatro;BounceCards;Crosshair","Glassmorphism components;Soft components;Luxury components","neo-brutalist,bold,hard-shadow,neon,pop,graphic,thick-outline,offset,color-block","Hard black borders (3-4px). Bold primary colors. Offset shadows (4px 4px 0). No gradients.","Motion 3-6: bold transitions. Hard-cut animations. Offset movement effects."
Heat Map & Heatmap Style,"ChromaGrid;ColorBends;GradientBlinds;DotField;GridMotion;RippleGrid;Plasma","PlasmaWave;DotGrid;Iridescence;ShapeGrid;Particles;Threads","Terminal components;Brutalist components;Hero components","heatmap,heat,intensity,data-vis,gradient,thermal,hotspot,density,color-scale","Sequential color scales (blue→green→yellow→red). Background neutral. Data colors graduated.","Motion 1-2: subtle gradient transitions. Data update with smooth color shifts."
Drill-Down Analytics,"ScrollStack;Stack;AnimatedList;Stepper;Counter;CountUp;StaggeredMenu;CardSwap","Masonry;MagicBento;ChromaGrid;FadeContent;AnimatedContent;BorderGlow","Full-page backgrounds;Heavy animation components;Non-interactive components","drill-down,hierarchy,detail,zoom,levels,explore,analytics,hierarchical,progressive","Color brightness indicates hierarchy level. Darker = higher level. Accent for active drill path.","Motion 2-3: smooth expand/collapse. Drill-down zoom effect. Breadcrumb transitions."
Financial Dashboard,"Counter;CountUp;SpotlightCard;Stack;ReflectiveCard;Stepper;GlassSurface;BorderGlow","ElasticSlider;TiltedCard;DotGrid;AnimatedList;Particles;LightPillar","Playful components;Cartoon components;Brutalist components","finance,banking,money,stock,investment,professional,serious,trust,premium,numbers","Dark blue/navy + gold/green accents. Professional palette. Subtle premium textures.","Motion 1-2: subtle transitions. Serious, trust-building animations only."
Sales Intelligence Dashboard,"Counter;CountUp;SpotlightCard;Stack;ScrollStack;FlyingPosters;ChromaGrid","BounceCards;MagicBento;Carousel;AnimatedList;BorderGlow;StarBorder","Terminal components;Brutalist components;Dark-only components","sales,CRM,pipeline,conversion,revenue,target,goal,performance,intelligence","Blue/green professional palette. Pipeline colors (red→yellow→green). Win/loss indicators.","Motion 2-4: goal achievement animations. Pipeline flow transitions. Win celebrations."
Predictive Analytics,"Counter;CountUp;Orb;DotField;ShapeBlur;Radar;AnimatedContent","Threads;FloatingLines;Particles;LiquidEther;SoftAurora;Plasma","Glitch components;Brutalist components;Playful components","predictive,forecast,ML,model,future,trend,prediction,algorithm,intelligence","Purple/futuristic palette. Data blue for actuals. Purple for predictions. Gradient uncertainty bands.","Motion 2-4: smooth prediction lines. Model update transitions. Confidence band animations."
Comparative Analysis Dashboard,"Stack;ScrollStack;AnimatedList;CardSwap;Counter;Stepper;Masonry","ChromaGrid;MagicBento;DotGrid;StaggeredMenu;ElasticSlider","Single-view components;Non-comparative components;Heavy backgrounds","comparison,compare,A/B,versus,side-by-side,baseline,benchmark,delta,variance","Side-by-side color coding. Delta indicators (green up, red down). Neutral comparison baseline.","Motion 2-3: comparison reveal. Side-by-side transitions. Delta animations."
User Behavior Analytics,"FadeContent;TrueFocus;AnimatedList;ScrollStack;Counter;DotField;Threads","Stack;MagicBento;AnimatedContent;Masonry;Particles;ShapeGrid","Terminal components;Brutalist components;Heavy decorative components","behavior,user,flow,funnel,journey,path,interaction,UX,analytics,tracking","Flow colors: entry→progression→drop-off. Funnel gradients. User path highlighting.","Motion 2-3: flow animations. Funnel transitions. Path trace effects."
frontend-design:brutally-minimal,"SplitText;FadeContent;Stack;LineSidebar;DotGrid;AnimatedList;StaggeredMenu","CountUp;TrueFocus;Magnet;Threads;FloatingLines;Particles;LogoLoop","Heavy animation;Glassmorphism;Flashy components;Ballpit","brutal,minimal,stark,sparse,essential,no-decoration,functional,raw,typography-only","Black and white only. Single accent sparingly. No gradients. Maximum whitespace.","Motion 1: almost no animation. Instant transitions. Only essential state changes."
frontend-design:maximalist-chaos,"ColorBends;ChromaGrid;Ballpit;Plasma;PixelBlast;FuzzyText;Balatro;Strands","GlitchText;LetterGlitch;FlyingPosters;ElasticSlider;InfiniteMenu;LaserFlow;Hyperspeed","Minimalist components;Clean components;Single-color components;FadeContent","maximalist,chaos,abundance,everything,overload,pattern-mix,color-explosion,more-is-more,bold","Every color available. No color rules. High saturation. Clashing encouraged.","Motion 8-10: maximum motion. Multiple concurrent animations. Sensory overload."
frontend-design:retro-futuristic,"GlitchText;PixelTransition;Hyperspeed;GridScan;DecryptedText;StarBorder;ShinyText","ElectricBorder;LetterGlitch;LiquidChrome;PixelCard;MetallicPaint;Galaxy;GridMotion","Flat components;Minimalist components;Natural components","retro,future,sci-fi,vintage-tech,raygun,atompunk,space-age,1950s-future,chrome","Silver/chrome + atomic orange. Retro-future pastels. Space-age neutrals.","Motion 5-7: retro sci-fi transitions. Raygun effects. Atomic age animations."
frontend-design:organic-natural,"Silk;Waves;Ribbons;LiquidEther;BlobCursor;FadeContent;SoftAurora;Threads","ShapeBlur;FloatingLines;Orb;Lightfall;AnimatedContent;FuzzyText","Cyberpunk components;Glitch components;Terminal components;ElectricBorder","organic,nature,biophilic,earthy,flowing,warm,handcrafted,textured,imperfect,wood,stone","Earth tones. Warm neutrals. Natural material colors. Botanical greens. Clay terracotta.","Motion 3-5: organic flowing. Growth animations. Wind-like movements. Natural easing."
frontend-design:luxury-refined,"ShinyText;ReflectiveCard;SpotlightCard;MetallicPaint;StarBorder;Prism;Aurora;GlassSurface","LightPillar;LiquidChrome;Iridescence;TiltedCard;CircularGallery;ProfileCard;DomeGallery;GlassIcons","Brutalist components;Pixel components;Playful components;Noise","luxury,premium,refined,elegant,exclusive,high-end,couture,gold,black-tie,sophisticated","Gold (#D4AF37) + black. Rich jewel tones. Metallic accents. Minimal but premium palette.","Motion 2-4: refined subtle animations. Smooth gold shimmer. Elegant transitions."
frontend-design:playful-cartoon,"BounceCards;FuzzyText;Ballpit;GooeyNav;Balatro;StickerPeel;ElasticSlider","FlyingPosters;PixelCard;WaveText;CircularText;SplashCursor;BubbleMenu;ClickSpark","Brutalist components;Terminal components;Dark serious components;SpotlightCard","playful,cartoon,fun,whimsical,bouncy,toy,colorful,childlike,animated,game","Bright primary colors. Cartoon palette. High saturation. Fun color combinations.","Motion 6-8: bouncy spring animations. Cartoon physics. Exaggerated easing."
frontend-design:editorial-magazine,"SplitText;TrueFocus;ScrollReveal;FadeContent;AnimatedContent;Stack;Masonry","BlurText;ScrollFloat;CardSwap;Carousel;FlyingPosters;ScrollStack;AnimatedList","Cartoon components;Flashy components;Terminal components;Ballpit","editorial,magazine,layout,typography,publishing,article,spread,print-inspired,editorial-design","Black + white + one accent. Editorial color accents. Photo-rich. Typography-forward.","Motion 2-4: editorial scroll reveals. Magazine-page turn. Subtle type animations."
frontend-design:brutalist-raw,"Noise;GlitchText;FaultyTerminal;DecayCard;LetterGlitch;Dither;Grainient;ASCIIText","DecryptedText;Crosshair;PixelTrail;BorderGlow;ElasticSlider;Cubes;LaserFlow","GlassSurface;SoftAurora;Aurora;GlassIcons;LiquidEther;LightRays","brutalist,raw,unpolished,deconstructed,ugly,honest,anti-design,exposed,rough","Raw colors. No color harmony. Clashing allowed. Monochrome + one harsh accent.","Motion 2-5: mechanical animations. Raw unpolished transitions. No smooth easing."
frontend-design:art-deco,"ShinyText;StarBorder;MetallicPaint;PrismaticBurst;LightPillar;ReflectiveCard;GlassIcons","CircularGallery;SpotlightCard;Iridescence;LiquidChrome;TiltedCard;ProfileCard;Aurora","Brutalist components;Pixel components;Cartoon components;Terminal components","art-deco,gatsby,1920s,geometric,gold,luxury,symmetry,glamour,vintage-luxury","Gold + black + cream. Geometric metallic. Emerald/jade accents. Symmetric color blocking.","Motion 2-4: elegant geometric transitions. Deco pattern animations. Glamorous shimmer."
frontend-design:soft-pastel,"BlurText;SoftAurora;FadeContent;ShapeBlur;GlassSurface;Lightfall;LightPillar","GradientBlinds;DotGrid;FloatingLines;Particles;PillNav;CountUp;TrueFocus","Brutalist;Glitch;Dark;Cyberpunk;LaserFlow;FaultyTerminal","pastel,soft,cute,gentle,whisper,calm,soothing,cotton-candy,sweet,blush","Pastel pinks, blues, lavenders, mints. Soft warm neutrals. Low saturation. No harsh colors.","Motion 2-3: soft gentle transitions. Floating animations. Dreamy slow movements."
frontend-design:industrial-utilitarian,"Folder;LineSidebar;GridScan;Radar;DotField;GridMotion;Crosshair;Threads","ShapeGrid;FadeContent;AnimatedList;Counter;Stepper;ScrollStack","Glassmorphism;Playful;Luxury;Cartoon;SoftAurora","industrial,utilitarian,functional,raw-steel,warehouse,monospace,systematic,brutalist-light,efficient","Grey scale + safety orange. Industrial metal tones. Concrete/steel colors. High contrast.","Motion 1-2: mechanical efficiency. Functional only. No decorative motion."
